Actif,Type,Vendor,Product,Version,Manager,Service,Update,Edition,Langage,sw_edition,target_sw
BMD013,OS,Cisco,IOS XE Software,16.09.04,35,13,,,,,
Clustern1,OS,Microsoft Corporation,Microsoft Windows Server 2016 Datacenter,10.0.14393,13,936,,,,,
